time,car_id,type,x,y,zone_id,None
30,21,van,1534,638,2,-1
30,26,van,953,786.5,2,-1
30,29,van,650,945.5,1,-1
30,52,van,1077.5,1014,1,-1
31,1,van,1435,739,2,-1
31,2,van,1307,647.5,2,-1
31,5,van,1149,737.5,2,-1
31,7,van,1910,741.5,2,-1
31,16,van,1701,688,2,-1
31,20,van,900,736,2,-1
31,21,van,1528.5,638,2,-1
31,26,van,947.5,787.5,2,-1
31,29,van,660.5,945.5,1,-1
32,1,van,1428,739,2,-1
32,2,van,1303,646.5,2,-1
32,5,van,1140.5,738,2,-1
32,7,van,1903.5,740.5,2,-1
32,20,van,891.5,736,2,-1
32,21,van,1522.5,639,2,-1
32,26,van,940,787.5,2,-1
32,29,van,671.5,946,1,-1
32,52,van,1089.5,1017,1,-1
33,1,van,1421,739,2,-1
33,2,van,1297.5,647,2,-1
33,5,van,1130,737.5,2,-1
33,7,van,1897,740.5,2,-1
33,20,van,884,735.5,2,-1
33,21,van,1518,638.5,2,-1
33,26,van,932,788.5,2,-1
33,29,van,682,945,1,-1
33,52,van,1096.5,1016.5,1,-1
34,1,van,1414,739,2,-1
34,2,van,1290,648,2,-1
34,5,van,1123,738,2,-1
34,7,van,1889.5,741,2,-1
34,20,van,877.5,736,2,-1
34,21,van,1512,639,2,-1
34,26,van,925.5,788,2,-1
34,29,van,692,945,1,-1
34,52,van,1103.5,1017.5,1,-1
35,1,van,1404.5,738,2,-1
35,2,van,1285,647.5,2,-1
35,5,van,1116.5,737.5,2,-1
35,7,van,1884,741,2,-1
35,20,van,869,735.5,2,-1
35,21,van,1505,638,2,-1
35,26,van,919,786.5,2,-1
35,29,van,702.5,945,1,-1
35,52,van,1111.5,1017.5,1,-1
36,1,van,1397,739,2,-1
36,2,van,1279,647,2,-1
36,5,van,1109,738,2,-1
36,7,van,1873,741,2,-1
36,20,van,859,736.5,2,-1
36,21,van,1499,639,2,-1
36,26,van,911.5,785,2,-1
36,29,van,712.5,945.5,1,-1
36,52,van,1119,1017,1,-1
37,1,van,1390.5,739,2,-1
37,2,van,1274.5,646,2,-1
37,5,van,1100.5,738,2,-1
37,7,van,1866,740.5,2,-1
37,20,van,851,735.5,2,-1
37,21,van,1491.5,639.5,2,-1
37,26,van,904.5,784,2,-1
37,29,van,723,946,1,-1
37,52,van,1125,1018,1,-1
38,1,van,1384,738.5,2,-1
38,2,van,1268,647,2,-1
38,5,van,1093.5,738,2,-1
38,7,van,1860,741.5,2,-1
38,20,van,843.5,735,2,-1
38,21,van,1485.5,640,2,-1
38,26,van,897.5,783.5,2,-1
38,29,van,733.5,946.5,1,-1
38,52,van,1131,1019,1,-1
39,1,van,1375,739,2,-1
39,2,van,1262,646,2,-1
39,5,van,1084.5,738.5,2,-1
39,7,van,1854,741.5,2,-1
39,20,van,835.5,734,2,-1
39,21,van,1480,639.5,2,-1
39,26,van,889,782.5,2,-1
39,29,van,744.5,946,1,-1
39,52,van,1140,1018.5,1,-1
40,1,van,1367.5,738.5,2,-1
40,2,van,1257,646.5,2,-1
40,5,van,1076.5,738.5,2,-1
40,7,van,1847.5,741,2,-1
40,20,van,826.5,735,2,-1
40,21,van,1473,639.5,2,-1
40,26,van,882,783,2,-1
40,29,van,753.5,945,1,-1
40,52,van,1147,1019,1,-1
41,1,van,1361,738,2,-1
41,2,van,1250.5,647,2,-1
41,5,van,1068,738.5,2,-1
41,7,van,1841.5,741.5,2,-1
41,20,van,819,734.5,2,-1
41,21,van,1467,639,2,-1
41,26,van,875,783.5,2,-1
41,29,van,765,946.5,1,-1
41,52,van,1153,1020,1,-1
42,1,van,1354,738.5,2,-1
42,2,van,1244.5,647.5,2,-1
42,5,van,1059,738.5,2,-1
42,7,van,1833.5,741.5,2,-1
42,20,van,812,734,2,-1
42,21,van,1461.5,639.5,2,-1
42,26,van,866.5,785.5,2,-1
42,29,van,774,946.5,1,-1
42,52,van,1159,1020.5,1,-1
43,1,van,1346.5,739,2,-1
43,2,van,1237.5,647.5,2,-1
43,5,van,1050.5,739.5,2,-1
43,7,van,1826.5,742,2,-1
43,20,van,803,733.5,2,-1
43,21,van,1456,639.5,2,-1
43,26,van,859,785,2,-1
43,29,van,784,946.5,1,-1
43,52,van,1165,1020.5,1,-1
44,1,van,1338,739,2,-1
44,2,van,1233,647.5,2,-1
44,5,van,1042.5,738.5,2,-1
44,7,van,1820.5,742.5,2,-1
44,21,van,1451.5,639,2,-1
44,26,van,853,783.5,2,-1
44,29,van,794,947,1,-1
44,52,van,1170.5,1020.5,1,-1
45,1,van,1330.5,739,2,-1
45,2,van,1225.5,647.5,2,-1
45,5,van,1034.5,738.5,2,-1
45,7,van,1814.5,743,2,-1
45,21,van,1444.5,639.5,2,-1
45,26,van,846,784.5,2,-1
45,29,van,806,947.5,1,-1
45,52,van,1177,1021.5,1,-1
46,1,van,1324,739.5,2,-1
46,2,van,1221.5,647.5,2,-1
46,5,van,1027.5,738.5,2,-1
46,7,van,1808,742.5,2,-1
46,21,van,1437,638.5,2,-1
46,26,van,839,783.5,2,-1
46,29,van,818,947,1,-1
47,1,van,1317.5,738.5,2,-1
47,2,van,1215.5,646,2,-1
47,5,van,1020.5,738,2,-1
47,7,van,1801,742.5,2,-1
47,21,van,1431.5,639.5,2,-1
47,26,van,832,784,2,-1
47,29,van,828.5,947.5,1,-1
47,63,van,1593.5,688.5,2,-1
48,1,van,1308,737.5,2,-1
48,2,van,1208,646,2,-1
48,5,van,1013,738.5,2,-1
48,7,van,1795,743.5,2,-1
48,21,van,1425,639.5,2,-1
48,26,van,824,784.5,2,-1
48,29,van,837.5,946.5,1,-1
48,63,van,1587,688.5,2,-1
48,65,van,1197,1022.5,1,-1
49,1,van,1300.5,737.5,2,-1
49,2,van,1204,646.5,2,-1
49,5,van,1003,739,2,-1
49,7,van,1789,744,2,-1
49,21,van,1419.5,640,2,-1
49,26,van,816.5,785,2,-1
49,29,van,845.5,947,1,-1
49,63,van,1579.5,689.5,2,-1
50,1,van,1293,737.5,2,-1
50,2,van,1197,647.5,2,-1
50,5,van,995,737.5,2,-1
50,7,van,1781.5,744,2,-1
50,21,van,1414,640,2,-1
